OBJECTID_12,PLOT,Exposure,transect,site_combined,site_individual,SCH_p,SCH_D,TYP_P,TYP_D,LATITUDE,LONGITUDE,cost_small,Fetch_projected,water_depth,slope_USE,speed_limit
104,12,Unexposed,KPWC,B,D,1,2,0,0,46.23559001,-84.18868898,13.26549149,2119.052002,83,-1,10
105,13,Unexposed,KPWC,B,D,1,2,0,0,46.235559,-84.18880298,13.26655579,2119.052002,89,-0.6,10
106,14,Unexposed,KPWC,B,D,1,9,0,0,46.23552798,-84.18892401,13.26795387,2227.87915,80,0.9,10
107,15,Unexposed,KPWC,B,D,1,36,0,0,46.23549001,-84.18904798,13.26183414,2227.87915,70,1,10
110,1,Unexposed,KPWN,B,D,0,0,0,0,46.23613399,-84.18728602,38.72613907,1833.968994,25,-2.5,10
111,2,Unexposed,KPWN,B,D,0,0,0,0,46.23611002,-84.18741602,38.72613907,1833.968994,33,-0.8,10
112,3,Unexposed,KPWN,B,D,0,0,0,0,46.23608303,-84.18753698,32.44786072,1833.968994,53,-2,10
113,4,Unexposed,KPWN,B,D,0,0,0,0,46.23605596,-84.18765298,26.13470459,1726.333984,65,-1.2,10
114,5,Unexposed,KPWN,B,D,1,18,0,0,46.23602796,-84.18777896,19.8564949,1726.333984,66,-0.1,10
115,6,Unexposed,KPWN,B,D,0,0,0,0,46.23599402,-84.18790301,19.8564949,1726.333984,74,-0.8,10
116,7,Unexposed,KPWN,B,D,0,0,0,0,46.23595898,-84.18801701,13.57818985,1742.799805,76,-0.2,10
117,8,Unexposed,KPWN,B,D,1,4,0,0,46.23592696,-84.18813997,13.49184418,1877.288574,74,0.2,10
118,9,Unexposed,KPWN,B,D,1,28,0,0,46.23589301,-84.18826,13.43669891,1877.288574,75,-0.1,10
119,10,Unexposed,KPWN,B,D,1,9,0,0,46.23586502,-84.18838296,13.43669891,1877.288574,79,-0.4,10
120,11,Unexposed,KPWN,B,D,1,12,0,0,46.23583602,-84.18852302,13.35013103,2044.384521,75,0.4,10
121,12,Unexposed,KPWN,B,D,1,1,0,0,46.23580903,-84.18864498,13.29278374,2044.384521,70,0.5,10
122,13,Unexposed,KPWN,B,D,1,3,0,0,46.23578003,-84.18876702,13.27903461,2119.052002,57,1.3,10
123,14,Unexposed,KPWN,B,D,1,12,0,0,46.23574398,-84.18888696,13.27275562,2188.299805,85,-2.8,10
124,15,Unexposed,KPWN,B,D,1,2,0,0,46.23572102,-84.18900096,13.27408981,2188.299805,99,-1.4,10
125,1,Unexposed,KPWS,B,D,0,0,0,0,46.23562597,-84.18721201,41.42503357,1638.932007,1,0,10
126,2,Unexposed,KPWS,B,D,0,0,0,0,46.23561599,-84.18732902,35.43728638,1503.274658,34,-3.3,10
127,3,Unexposed,KPWS,B,D,0,0,0,0,46.23559001,-84.18744997,27.14929771,1503.274658,40,-0.6,10
128,4,Unexposed,KPWS,B,D,0,0,0,0,46.23558104,-84.18758601,27.14929771,1503.274658,54,-1.4,10
129,5,Unexposed,KPWS,B,D,0,0,0,0,46.23555103,-84.18770797,20.9783287,1503.274658,60,-0.6,10
130,6,Unexposed,KPWS,B,D,1,25,0,0,46.23554299,-84.18783001,14.82845402,1806.351685,65,-0.5,10
131,7,Unexposed,KPWS,B,D,1,8,0,0,46.23553402,-84.18796504,13.44163132,1806.351685,70,-0.5,10
132,8,Unexposed,KPWS,B,D,1,24,0,0,46.23552396,-84.18809596,13.44163132,1806.351685,77,-0.7,10
133,9,Unexposed,KPWS,B,D,1,14,0,0,46.23552103,-84.18822899,13.39756584,2000.916748,77,0,10
134,10,Unexposed,KPWS,B,D,1,2,0,0,46.23544802,-84.18834801,13.32436466,2063.888184,79,-0.2,10
135,11,Unexposed,KPWS,B,D,0,0,0,0,46.23545498,-84.18846804,13.29375267,2063.888184,85,-0.6,10
136,12,Unexposed,KPWS,B,D,0,0,0,0,46.23541801,-84.18861799,13.25921249,2189.570801,98,-1.3,10
137,13,Unexposed,KPWS,B,D,0,0,0,0,46.23540703,-84.18874104,13.25921249,2189.570801,98,0,10
138,14,Unexposed,KPWS,B,D,1,2,0,0,46.23539303,-84.18885704,13.25419712,2189.570801,88,1,10
139,15,Unexposed,KPWS,B,D,1,10,0,0,46.23538499,-84.18899601,13.25572968,2227.87915,68,2,10
109,1,Exposed,WPSS,C,E,0,0,1,18,46.215498,-84.14982604,7.54889679,1833.968994,0,-2.161400704,14
288,2,Exposed,WPSS,C,E,0,0,0,0,46.21542716,-84.14981069,13.82728767,1833.968994,4,-2.161400704,14
140,3,Exposed,WPSS,C,E,0,0,0,0,46.21537596,-84.14979796,13.82728767,2189.87793,4,5.189627,14
141,4,Exposed,WPSS,C,E,0,0,0,0,46.21532902,-84.14981104,10.5730896,2189.87793,59,5.189627,14
142,5,Exposed,WPSS,C,E,0,0,0,0,46.21528401,-84.14982797,10.5730896,2189.87793,67,5.189627,14
143,6,Exposed,WPSS,C,E,0,0,0,0,46.21523699,-84.14984196,10.5730896,2189.87793,86,5.189627,14
144,7,Exposed,WPSS,C,E,0,0,0,0,46.21519298,-84.149862,4.294695854,2189.87793,90,4.269542487,14
145,8,Exposed,WPSS,C,E,0,0,0,0,46.21515099,-84.14987298,4.294695854,2189.87793,83,4.269542487,14
146,9,Exposed,WPSS,C,E,0,0,0,0,46.21510103,-84.14988304,2.731375933,2189.87793,83,-0.401023243,14
147,10,Exposed,WPSS,C,E,0,0,0,0,46.21507304,-84.14989896,2.731375933,2189.87793,97,-0.401023243,14
148,11,Exposed,WPSS,C,E,0,0,0,0,46.21502199,-84.149906,2.731375933,2189.87793,104,-0.401023243,14
149,12,Exposed,WPSS,C,E,0,0,0,0,46.21497497,-84.14990701,2.725146055,2189.87793,112,-0.401023243,14
150,13,Exposed,WPSS,C,E,0,0,0,0,46.21491998,-84.14991296,2.725146055,2189.87793,122,-0.401023243,14
151,14,Exposed,WPSS,C,E,0,0,0,0,46.21488897,-84.14990902,2.719453812,2189.87793,128,-0.401023243,14
289,15,Exposed,WPSS,C,E,0,0,0,0,46.214851,-84.14991469,2.719453812,2189.87793,128,-0.401023243,14
